HR,Name,DM,HD,SAO,RAh,RAm,RAs,DE_sign,DEd,DEm,DEs,Vmag,B-V,SpType,Const-Info
5292,,CP-58 5383,123335,241478,14.0,8.0,56.3,-,59.0,16.0,36.0,6.34,0.05,B5IV,5I
5293,,CP-69 2012,123377,257119,14.0,10.0,30.9,-,70.0,18.0,20.0,6.05,1.74,K4II,4I
5294,,CD-42 9065,123445,224721,14.0,8.0,51.9,-,43.0,28.0,16.0,6.17,-0.06,B9V,9V
5295,,CP-69 2014,123492,252636,14.0,11.0,1.9,-,69.0,43.0,11.0,6.06,0.18,A6IV,6I
5296,,CD-50 8294,123515,241491,14.0,9.0,35.0,-,51.0,30.0,17.0,6.0,-0.06,B9IV,9I
5297,,CP-52 7028,123569,241496,14.0,9.0,54.8,-,53.0,26.0,21.0,4.75,0.94,G9-III,9-
5298,96    Vir,BD-09 3865,123630,158385,14.0,9.0,0.6,-,10.0,20.0,4.0,6.47,1.0,G8III,8I
5299,,BD+44 2325,123657,44901,14.0,7.0,55.8,+,43.0,51.0,16.0,5.27,1.59,M4.5:III,4.
5300,13    Boo,BD+50 2047,123782,44905,14.0,8.0,17.3,+,49.0,27.0,29.0,5.25,1.65,M1.5III,1.
5301,,BD-15 3817,123934,158401,14.0,10.0,50.5,-,16.0,18.0,7.0,4.91,1.72,M2IIIa,2I
5302,,BD+60 1516,123977,29019,14.0,8.0,46.0,+,59.0,20.0,16.0,6.46,1.02,K0III,0I
5303,Eta Aps,CP-80  706,123998,258693,14.0,18.0,13.8,-,81.0,0.0,28.0,4.91,0.25,A2m,2m
5304,12    Boo,BD+25 2737,123999,83203,14.0,10.0,23.9,+,25.0,5.0,30.0,4.83,0.54,F9IV w,9I
5305,3    UMi,BD+75  529,124063,7953,14.0,6.0,56.4,+,74.0,35.0,37.0,6.45,0.14,A7V,7V
5306,,CP-77  940,124099,257131,14.0,16.0,54.9,-,77.0,39.0,50.0,6.47,1.42,K2IIp,2I
5307,,BD+02 2783,124115,120334,14.0,11.0,31.2,+,1.0,21.0,44.0,6.43,0.48,F7V,7V
5308,,CP-53 5912,124147,241543,14.0,13.0,16.4,-,53.0,39.0,57.0,5.56,1.44,K5III+B-A,5I
5309,,CD-2311551,124162,182343,14.0,12.0,24.5,-,24.0,21.0,51.0,6.34,1.35,K0,0
5310,,BD+32 2443,124186,63979,14.0,11.0,15.1,+,32.0,17.0,44.0,6.11,1.26,K4III,4I
5311,,CP-54 5933,124195,241552,14.0,13.0,39.9,-,54.0,37.0,33.0,6.11,0.05,B5Ve,5V
5312,50    Hya,CD-2610158,124206,182349,14.0,12.0,46.0,-,27.0,15.0,40.0,5.08,1.16,K3III,3I
5313,,BD+03 2867,124224,120339,14.0,12.0,15.8,+,2.0,24.0,34.0,5.01,-0.12,A0VpSi,0V
5314,,CD-2610163,124281,182354,14.0,13.0,13.2,-,26.0,36.0,44.0,6.24,1.08,K0III,0I
5315,98Kap Vir,BD-09 3878,124294,158427,14.0,12.0,53.8,-,10.0,16.0,25.0,4.19,1.33,K2.5IIIFe-0.5,2.
5316,,CP-56 6206,124367,241563,14.0,14.0,57.0,-,57.0,5.0,9.0,5.07,-0.08,B4Vne,4V
5317,,BD-00 2796,124425,139798,14.0,13.0,40.8,-,0.0,50.0,44.0,5.91,0.47,F7V w,7V
5318,,CD-41 8589,124433,224791,14.0,14.0,42.6,-,41.0,50.0,15.0,5.61,0.93,G8III,8I
5319,,CP-52 7087,124454,241569,14.0,15.0,21.2,-,53.0,30.0,35.0,6.39,1.57,K3III,3I
5320,,CP-66 2490,124471,252678,14.0,16.0,38.6,-,66.0,35.0,16.0,5.75,-0.06,B1.5III,1.
5321,4    UMi,BD+78  478,124547,7958,14.0,8.0,50.9,+,77.0,32.0,51.0,4.82,1.36,K3III,3I
5322,,BD-05 3837,124553,139806,14.0,14.0,21.3,-,5.0,56.0,51.0,6.36,0.6,F9V,9V
5323,14    Boo,BD+13 2764,124570,100925,14.0,14.0,5.2,+,12.0,57.0,34.0,5.54,0.54,F6IV,6I
5324,,CD-2810528,124576,182374,14.0,15.0,1.3,-,29.0,16.0,55.0,6.08,,A1V,1V
5325,,CD-44 9181,124580,224798,14.0,15.0,38.8,-,45.0,0.0,3.0,6.31,0.6,F9V,9V
5326,,CP-59 5476,124601,241580,14.0,16.0,34.2,-,59.0,54.0,50.0,6.39,2.04,M5IIe,5I
5327,,CP-82  601,124639,258697,14.0,24.0,23.3,-,82.0,50.0,55.0,6.42,0.02,B8Ve,8V
5328,17Kap1Boo,BD+52 1782,124674,29045,14.0,13.0,27.7,+,51.0,47.0,16.0,6.69,0.39,F1V,1V
5329,17Kap2Boo,BD+52 1782,124675,29046,14.0,13.0,29.0,+,51.0,47.0,25.0,4.54,0.2,A8IV,8I
5330,15    Boo,BD+10 2654,124679,100934,14.0,14.0,50.8,+,10.0,6.0,2.0,5.29,1.0,K1III,1I
5331,,BD+04 2841,124681,120364,14.0,14.0,53.0,+,3.0,20.0,10.0,6.45,1.6,M4IIIab,4I
5332,,BD-17 4046,124683,158448,14.0,15.0,24.1,-,18.0,12.0,3.0,5.43,-0.03,A1V,1V
5333,,BD+22 2678,124713,83242,14.0,14.0,41.0,+,21.0,52.0,24.0,6.39,0.18,A7V,7V
5334,,BD+70  778,124730,16305,14.0,12.0,4.0,+,69.0,25.0,57.0,5.24,1.58,M2IIIab,2I
5335,,BD+42 2472,124755,44952,14.0,14.0,23.5,+,41.0,31.0,8.0,6.24,1.04,gK3,3
5336,Eps Aps,CP-79  755,124771,257142,14.0,22.0,22.7,-,80.0,6.0,32.0,5.06,-0.1,B4V,4V
5337,,CD-32 9982,124780,205371,14.0,16.0,18.3,-,33.0,14.0,29.0,6.55,0.3,F0V,0V
5338,99Iot Vir,BD-05 3843,124850,139824,14.0,16.0,0.9,-,6.0,0.0,2.0,4.08,0.52,F6III,6I
5339,Del Oct,CP-83  557,124882,258698,14.0,26.0,54.9,-,83.0,40.0,4.0,4.32,1.31,K2III,2I
5340,16Alp Boo,BD+19 2777,124897,100944,14.0,15.0,39.7,+,19.0,10.0,57.0,-0.04,1.23,K1.5IIIFe-0.5,1.
5341,,BD-05 3845,124915,139828,14.0,16.0,21.5,-,6.0,37.0,19.0,6.44,0.28,A9III,9I
5342,,BD-02 3812,124931,139830,14.0,16.0,30.1,-,3.0,11.0,47.0,6.15,-0.01,A1V,1V
5343,,BD+19 2779,124953,100949,14.0,16.0,4.2,+,18.0,54.0,43.0,5.98,0.26,A8III,8I
5344,,BD-17 4053,124990,158462,14.0,17.0,3.8,-,18.0,35.0,7.0,6.22,0.98,G5,5
5345,,BD+53 1699,125019,29059,14.0,15.0,16.9,+,52.0,32.0,9.0,6.58,0.1,A4V,4V
5346,,BD+20 2954,125040,83259,14.0,16.0,32.8,+,20.0,7.0,17.0,6.25,0.49,F8V,8V
5347,,BD+40 2760,125111,64040,14.0,16.0,24.2,+,39.0,44.0,41.0,6.38,0.36,F2IV,2I
5348,,CD-3210005,125150,205412,14.0,18.0,23.8,-,33.0,13.0,14.0,6.54,0.27,F0V,0V
5349,,CP-60 5294,125158,252703,14.0,19.0,51.5,-,61.0,16.0,23.0,5.23,0.29,Am,m
5350,21Iot Boo,BD+52 1784,125161,29071,14.0,16.0,9.9,+,51.0,22.0,2.0,4.75,0.2,A9V,9V
5351,19Lam Boo,BD+46 1949,125162,44965,14.0,16.0,23.0,+,46.0,5.0,18.0,4.18,0.08,A0p,0p
5352,,BD+15 2690,125180,100956,14.0,17.0,28.4,+,15.0,15.0,48.0,5.8,1.71,M3IIIa,3I
5353,,BD-06 3964,125184,139856,14.0,18.0,0.6,-,7.0,32.0,33.0,6.47,0.73,G5IV,5I
5354,Iot Lup,CD-45 9084,125238,224833,14.0,19.0,24.2,-,46.0,3.0,28.0,3.55,-0.18,B2.5IV,2.
5355,,BD-18 3789,125248,158481,14.0,18.0,38.3,-,18.0,42.0,58.0,5.9,0.0,A0pCrEu,0p
5356,,CD-2510271,125276,182433,14.0,19.0,0.8,-,25.0,48.0,56.0,5.87,0.5,F5V,5V
5357,,CD-36 9268,125283,205430,14.0,19.0,23.9,-,37.0,0.0,13.0,5.94,0.08,A2Vn,2V
5358,,CP-55 5984,125288,241641,14.0,20.0,19.5,-,56.0,23.0,12.0,4.33,0.12,B6Ib,6I
5359,100Lam Vir,BD-12 4018,125337,158489,14.0,19.0,6.6,-,13.0,22.0,16.0,4.52,0.13,A2m,2m
5360,,BD+51 1908,125349,29086,14.0,17.0,21.1,+,51.0,18.0,26.0,6.2,0.04,A2IV,2I
5361,,BD+36 2468,125351,64053,14.0,17.0,59.8,+,35.0,30.0,34.0,4.81,1.06,K0III,0I
5362,,CD-42 9235,125383,224838,14.0,20.0,9.7,-,43.0,3.0,32.0,5.56,0.92,G8III,8I
5363,,BD+48 2188,125406,44982,14.0,17.0,49.2,+,48.0,0.0,6.0,6.32,0.44,F5,5
5364,,CD-44 9236,125442,224843,14.0,20.0,42.5,-,45.0,11.0,14.0,4.77,0.31,F0IV,0I
5365,18    Boo,BD+13 2782,125451,100975,14.0,19.0,16.3,+,13.0,0.0,15.0,5.41,0.38,F5IV,5I
5366,102Ups Vir,BD-01 2938,125454,139866,14.0,19.0,32.5,-,2.0,15.0,56.0,5.14,1.02,G9III,9I
5367,Psi Cen,CD-37 9336,125473,205453,14.0,20.0,33.4,-,37.0,53.0,7.0,4.05,-0.03,A0IV,0I
5368,,BD+01 2913,125489,120400,14.0,19.0,40.9,+,0.0,23.0,3.0,6.19,0.2,A7V,7V
5369,,BD+39 2749,125538,64064,14.0,18.0,55.7,+,38.0,46.0,3.0,6.86,1.06,G9IV,9I
5370,20    Boo,BD+16 2637,125560,100980,14.0,19.0,45.2,+,16.0,18.0,25.0,4.86,1.23,K3III,3I
5371,,CP-57 6619,125628,241673,14.0,22.0,37.0,-,58.0,27.0,34.0,4.92,0.86,G8III+F5V,8I
5372,,BD+55 1678,125632,29098,14.0,18.0,55.8,+,54.0,51.0,51.0,6.53,,A5Vn,5V
5373,,BD+39 2750,125642,64072,14.0,19.0,47.7,+,38.0,47.0,38.0,6.33,0.05,A2V,2V
5374,,BD+31 2605,125658,64074,14.0,20.0,8.7,+,30.0,25.0,45.0,6.44,0.15,A5III,5I
5375,,CD-47 9082,125721,224870,14.0,22.0,38.7,-,48.0,19.0,13.0,6.09,-0.13,B1III,1I
5376,,CD-34 9570,125745,205485,14.0,22.0,19.7,-,34.0,47.0,13.0,5.56,-0.09,B8V,8V
5377,,CD-50 8501,125810,241686,14.0,23.0,20.3,-,50.0,46.0,20.0,6.02,1.36,K2III,2I
5378,,CD-38 9329,125823,205497,14.0,23.0,2.2,-,39.0,30.0,44.0,4.42,-0.18,B7IIIp,7I
5379,,CP-67 2574,125835,252735,14.0,25.0,6.3,-,68.0,11.0,43.0,5.61,0.49,A3Ib,3I
5380,,CP-52 7195,125869,241691,14.0,23.0,48.4,-,53.0,10.0,36.0,6.0,1.1,K1III,1I
5381,51    Hya,CD-27 9803,125932,182483,14.0,23.0,5.8,-,27.0,45.0,14.0,4.77,1.31,K4III,4I
5382,,CP-65 2718,125990,252737,14.0,25.0,39.5,-,66.0,10.0,24.0,6.36,0.13,A3V,3V
5383,2    Lib,BD-11 3729,126035,158528,14.0,23.0,25.6,-,11.0,42.0,51.0,6.21,0.99,G7III,7I
5384,,BD+01 2920,126053,120424,14.0,23.0,15.3,+,1.0,14.0,30.0,6.27,0.63,G1V,1V
5385,,BD+09 2882,126128,,14.0,23.0,22.6,+,8.0,26.0,42.0,6.86,0.43,F0V+F2V,0V
5386,,BD+09 2882,126129,120426,14.0,23.0,22.7,+,8.0,26.0,48.0,5.12,-0.02,A0V,0V
5387,,BD+25 2770,126141,83321,14.0,23.0,6.8,+,25.0,20.0,17.0,6.22,0.37,F5V,5V
5388,,BD+08 2857,126200,120433,14.0,24.0,0.9,+,8.0,14.0,37.0,5.95,0.06,A3V,3V
5389,,CP-76  826,126209,257163,14.0,29.0,36.8,-,76.0,43.0,45.0,6.07,1.18,K0-1III,0-
5390,,CD-2411469,126218,182517,14.0,24.0,48.6,-,24.0,48.0,23.0,5.32,0.96,G8III,8I
5391,,CP-65 2732,126241,252745,14.0,27.0,7.1,-,65.0,49.0,18.0,5.85,1.5,K3III,3I
5392,,BD+06 2875,126248,120434,14.0,24.0,11.3,+,5.0,49.0,12.0,5.1,0.12,A5V,5V
5393,,BD-11 3736,126251,158550,14.0,24.0,40.9,-,11.0,40.0,11.0,6.49,0.42,F4III,4I
5394,,BD+08 2858,126271,120436,14.0,24.0,18.3,+,8.0,5.0,6.0,6.19,1.2,K4III,4I
5395,Tau1Lup,CD-44 9322,126341,224919,14.0,26.0,8.2,-,45.0,13.0,17.0,4.56,-0.15,B2IV,2I
5396,Tau2Lup,CD-44 9323,126354,224920,14.0,26.0,10.8,-,45.0,22.0,46.0,4.35,0.43,F4IV+A7:,4I
5397,,BD-19 3880,126367,158558,14.0,25.0,29.8,-,19.0,58.0,11.0,6.61,0.14,A2V,2V
5398,,CD-41 8757,126386,224923,14.0,26.0,13.4,-,42.0,19.0,9.0,6.32,1.19,K2III,2I
5399,,CD-2610280,126400,182535,14.0,25.0,47.7,-,26.0,51.0,9.0,6.48,0.94,G7IV,7I
5400,,CD-39 8918,126475,205561,14.0,26.0,49.9,-,39.0,52.0,26.0,6.35,-0.08,B7IV,7I
5401,,CD-45 9188,126504,224929,14.0,27.0,12.2,-,46.0,8.0,4.0,5.83,0.31,A1mA5/7-F2,1m
5402,,BD+39 2764,126597,64137,14.0,25.0,29.2,+,38.0,23.0,35.0,6.27,1.23,gK2,2
5403,,CP-58 5549,126610,241737,14.0,28.0,43.5,-,59.0,11.0,52.0,6.45,0.14,A0II-III,0I
5404,23The Boo,BD+52 1804,126660,29137,14.0,25.0,11.8,+,51.0,51.0,3.0,4.05,0.5,F7V,7V
5405,22    Boo,BD+19 2810,126661,101025,14.0,26.0,27.4,+,19.0,13.0,37.0,5.39,0.23,F0m,0m
5406,104    Vir,BD-05 3880,126722,139942,14.0,27.0,24.4,-,6.0,7.0,13.0,6.17,0.09,A2IV,2I
5407,52    Hya,CD-2810712,126769,182570,14.0,28.0,10.4,-,29.0,29.0,30.0,4.97,-0.07,B8V,8V
5408,,CP-67 2595,126862,252767,14.0,31.0,16.5,-,67.0,43.0,2.0,5.83,1.0,K1III,1I
5409,105Phi Vir,BD-01 2957,126868,139951,14.0,28.0,12.1,-,2.0,13.0,41.0,4.81,0.7,G2IV,2I
5410,106    Vir,BD-06 4009,126927,139957,14.0,28.0,41.7,-,6.0,54.0,2.0,5.42,1.49,K5III,5I
5411,,BD+41 2504,126943,45058,14.0,27.0,27.3,+,41.0,1.0,30.0,6.63,0.37,F1IV,1I
5412,,CD-44 9383,126981,224969,14.0,30.0,8.6,-,45.0,19.0,18.0,5.5,-0.08,B8Vn,8V
5413,,CD-48 9098,126983,224972,14.0,30.0,20.9,-,49.0,31.0,9.0,5.37,0.05,A1V+B,1V
5414,,BD+28 2331,127043,83373,14.0,28.0,31.5,+,28.0,17.0,21.0,7.62,-0.01,A1V,1V
5415,,BD+28 2332,127067,83374,14.0,28.0,33.3,+,28.0,17.0,27.0,7.12,-0.03,A1V,1V
5416,,BD+36 2495,127065,64161,14.0,28.0,16.4,+,36.0,11.0,49.0,6.1,,K0III,0I
5417,,CD-40 8729,127152,224982,14.0,30.0,56.5,-,40.0,50.0,42.0,6.39,1.44,K3III,3I
5418,,BD+01 2941,127167,120499,14.0,29.0,50.5,+,0.0,49.0,44.0,5.94,0.16,A5IV,5I
5419,,CD-38 9430,127193,205637,14.0,31.0,10.8,-,38.0,52.0,11.0,5.97,1.06,K1III,1I
5420,24    Boo,BD+50 2084,127243,29165,14.0,28.0,37.8,+,49.0,50.0,41.0,5.59,0.85,G3IV,3I
5421,,CP-56 6296,127297,241777,14.0,32.0,32.9,-,56.0,53.0,16.0,6.93,0.91,F5Ia,5I
5422,,BD+32 2482,127304,64178,14.0,29.0,49.7,+,31.0,47.0,28.0,6.06,-0.03,A0V s,0V
5423,,BD+42 2508,127334,45075,14.0,29.0,36.8,+,41.0,47.0,45.0,6.35,0.7,G5V,5V
5424,,BD+05 2886,127337,120504,14.0,30.0,45.4,+,4.0,46.0,20.0,6.02,1.42,gK4,4
5425,Sig Lup,CD-49 8831,127381,241781,14.0,32.0,36.9,-,50.0,27.0,25.0,4.42,-0.19,B2III,2I
5426,,CP-54 6053,127486,241792,14.0,33.0,32.4,-,54.0,59.0,54.0,5.87,0.48,F6IV-V,6I
5427,,CP-52 7301,127501,241793,14.0,33.0,29.9,-,52.0,40.0,48.0,5.87,1.09,K0III,0I
5428,,CD-3011519,127624,205681,14.0,33.0,9.6,-,30.0,42.0,51.0,6.09,1.03,K0III,0I
5429,25Rho Boo,BD+31 2628,127665,64202,14.0,31.0,49.8,+,30.0,22.0,17.0,3.58,1.3,K3-III,3-
5430,5    UMi,BD+76  527,127700,8024,14.0,27.0,31.5,+,75.0,41.0,46.0,4.25,1.44,K4-IIIBa0.3,4-
5431,,CD-41 8890,127716,225027,14.0,34.0,8.0,-,42.0,5.0,59.0,6.6,0.06,A2IV,2I
5432,,CP-59 5642,127724,241811,14.0,35.0,17.2,-,60.0,0.0,57.0,6.4,1.26,K2III,2I
5433,,BD+27 2388,127726,83394,14.0,32.0,20.2,+,26.0,40.0,38.0,6.01,0.22,A7Vn,7V
5434,26    Boo,BD+22 2715,127739,83395,14.0,32.0,32.5,+,22.0,15.0,36.0,5.92,0.35,F2IV,2I
5435,27Gam Boo,BD+38 2565,127762,64203,14.0,32.0,4.7,+,38.0,18.0,30.0,3.03,0.19,A7III,7I
5436,,BD+63 1136,127821,16406,14.0,30.0,46.1,+,63.0,11.0,8.0,6.09,0.41,F4IV,4I
5437,,BD+60 1547,127929,16411,14.0,31.0,42.8,+,60.0,13.0,32.0,6.27,0.24,F0III,0I
5438,,BD-19 3903,127964,182676,14.0,34.0,50.7,-,20.0,26.0,21.0,6.5,0.14,A4V,4V
5439,,CD-40 8794,127971,225046,14.0,35.0,31.5,-,41.0,31.0,2.0,5.87,-0.08,B7V,7V
5440,Eta Cen,CD-41 8917,127972,225044,14.0,35.0,30.4,-,42.0,9.0,28.0,2.31,-0.19,B1.5Vne,1.
5441,,BD+37 2545,127986,64212,14.0,33.0,20.3,+,36.0,57.0,34.0,6.43,,F8IV w,8I
5442,,BD+56 1746,128000,29191,14.0,32.0,30.9,+,55.0,23.0,52.0,5.76,1.5,gK5,5
5443,,CP-67 2616,128020,252824,14.0,37.0,46.3,-,67.0,55.0,56.0,6.04,0.5,F7V,7V
5444,,CD-45 9293,128068,225054,14.0,36.0,19.0,-,46.0,14.0,43.0,5.55,1.48,K3III,3I
5445,,BD+33 2474,128093,64221,14.0,34.0,11.7,+,32.0,32.0,4.0,6.33,0.4,F5V,5V
5446,,CD-39 9047,128152,205744,14.0,36.0,24.2,-,39.0,35.0,50.0,6.13,1.05,K1III,1I
5447,28Sig Boo,BD+30 2536,128167,83416,14.0,34.0,40.8,+,29.0,44.0,42.0,4.46,0.36,F2V,2V
5448,,BD+37 2551,128198,64227,14.0,34.0,38.5,+,36.0,37.0,33.0,6.03,1.38,gK5,5
5449,,CD-39 9050,128207,205751,14.0,36.0,44.2,-,40.0,12.0,42.0,5.74,-0.12,B8n,8n
5450,,CD-45 9302,128266,225062,14.0,37.0,20.1,-,46.0,8.0,2.0,5.41,1.01,G8III,8I
5451,,BD+57 1519,128332,29202,14.0,34.0,15.9,+,57.0,3.0,55.0,6.48,0.49,F6-8V,6-
5452,,BD+50 2095,128333,45121,14.0,34.0,39.6,+,49.0,22.0,6.0,5.74,1.56,M1IIIab,1I
5453,Rho Lup,CD-48 9198,128345,225071,14.0,37.0,53.2,-,49.0,25.0,33.0,4.05,-0.15,B5V,5V
5454,,BD+23 2710,128402,83427,14.0,36.0,6.9,+,23.0,15.0,1.0,6.38,1.06,K0,0
5455,,BD-11 3770,128429,158677,14.0,36.0,59.8,-,12.0,18.0,19.0,6.2,0.46,F5V,5V
5456,,CD-38 9529,128488,205786,14.0,38.0,19.6,-,38.0,47.0,39.0,6.02,1.43,K3III,3I
5457,,CD-46 9469,128582,225089,14.0,39.0,11.0,-,46.0,35.0,3.0,6.07,0.51,F7V,7V
5458,,CD-48 9218,128617,225091,14.0,39.0,24.7,-,49.0,3.0,20.0,6.39,0.44,F3IV,3I
5459,Alp1Cen,CP-60 5483,128620,252838,14.0,39.0,35.9,-,60.0,50.0,7.0,-0.01,0.71,G2V,2V
5460,Alp2Cen,CP-60 5483,128621,,14.0,39.0,36.1,-,60.0,50.0,8.0,1.33,0.88,K1V,1V
5461,,CP-55 6107,128713,241898,14.0,40.0,32.8,-,56.0,26.0,27.0,6.3,1.18,K0-1II,0-
5462,,BD+18 2906,128750,101121,14.0,38.0,14.0,+,18.0,17.0,54.0,5.91,1.1,gK2,2
5463,Alp Cir,CP-64 2977,128898,252853,14.0,42.0,30.4,-,64.0,58.0,31.0,3.19,0.24,ApSrEuCr:,pS
5464,,BD+44 2376,128902,45145,14.0,38.0,12.5,+,43.0,38.0,31.0,5.7,1.48,K2III,2I
5465,,CP-58 5672,128917,241912,14.0,41.0,55.7,-,58.0,36.0,58.0,6.22,0.45,F4V,4V
5466,,CD-35 9702,128974,205823,14.0,41.0,1.4,-,36.0,8.0,6.0,5.67,-0.08,A0p:,0p
5467,,BD+54 1693,128998,29227,14.0,38.0,15.2,+,54.0,1.0,24.0,5.85,-0.01,A1V,1V
5468,33    Boo,BD+45 2204,129002,45153,14.0,38.0,50.2,+,44.0,24.0,16.0,5.39,0.0,A1V,1V
5469,Alp Lup,CD-46 9501,129056,225128,14.0,41.0,55.8,-,47.0,23.0,18.0,2.3,-0.2,B1.5III/Vn,1.
5470,Alp Aps,CP-78  893,129078,257193,14.0,47.0,51.6,-,79.0,2.0,41.0,3.83,1.43,K3IIIa,3I
5471,,CD-37 9618,129116,205839,14.0,41.0,57.6,-,37.0,47.0,37.0,4.0,-0.17,B3V,3V
5472,,BD+22 2731,129132,83458,14.0,40.0,21.9,+,21.0,58.0,32.0,6.1,0.4,G0V,0V
5473,,BD+14 2769,129153,101137,14.0,40.0,42.4,+,13.0,32.0,3.0,5.91,0.21,F0V,0V
5474,,CD-3011624,129161,205841,14.0,41.0,51.1,-,30.0,56.0,0.0,6.37,-0.09,ApSi,pS
5475,29Pi 1Boo,BD+17 2768,129174,101138,14.0,40.0,43.6,+,16.0,25.0,6.0,4.94,-0.03,B9pMnHgSi,9p
5476,29Pi 2Boo,BD+17 2768,129175,101139,14.0,40.0,43.9,+,16.0,25.0,4.0,5.88,0.24,A6V,6V
5477,30Zet Boo,BD+14 2770,129246,101145,14.0,41.0,8.9,+,13.0,43.0,42.0,4.83,,A2III,2I
5478,30Zet Boo,BD+14 2770,129247,101145,14.0,41.0,8.9,+,13.0,43.0,42.0,4.43,0.05,A2III,2I
5479,,BD+80  448,129245,8054,14.0,33.0,38.3,+,79.0,39.0,37.0,6.26,1.3,K3III,3I
5480,31    Boo,BD+08 2903,129312,120601,14.0,41.0,38.8,+,8.0,9.0,42.0,4.86,1.0,G7+IIIHdel -0.5,7+
5481,32    Boo,BD+12 2729,129336,101152,14.0,41.0,43.5,+,11.0,39.0,38.0,5.56,0.94,G8III,8I
5482,,CP-62 4275,129422,252869,14.0,45.0,17.3,-,62.0,52.0,33.0,5.36,0.29,A9V,9V
5483,,BD+21 2674,129430,83474,14.0,41.0,54.2,+,21.0,7.0,25.0,6.38,,G8III-IV,8I
5484,4    Lib,CD-2411637,129433,182795,14.0,43.0,13.6,-,24.0,59.0,51.0,5.73,-0.01,B9,9
5485,,CD-34 9868,129456,205871,14.0,43.0,39.4,-,35.0,10.0,25.0,4.05,1.35,K3IIIb,3I
5486,,CP-57 6772,129462,241966,14.0,44.0,55.5,-,58.0,28.0,40.0,6.11,1.02,K0III,0I
5487,107Mu  Vir,BD-05 3936,129502,140090,14.0,43.0,3.6,-,5.0,39.0,30.0,3.88,0.38,F2III,2I
5488,,CP-55 6150,129557,241971,14.0,45.0,10.9,-,55.0,36.0,7.0,6.1,-0.06,B2III,2I
5489,,CD-34 9888,129685,205899,14.0,44.0,59.2,-,35.0,11.0,31.0,4.92,0.01,A0V,0V
5490,34    Boo,BD+27 2413,129712,83488,14.0,43.0,25.4,+,26.0,31.0,40.0,4.81,1.66,M3-III,3-
5491,,CP-87  235,129723,258720,15.0,28.0,19.1,-,88.0,7.0,59.0,6.48,0.3,Am,m
5492,,BD+61 1451,129798,16466,14.0,42.0,3.2,+,61.0,15.0,43.0,6.25,0.41,F2V,2V
5493,,BD+41 2523,129846,45190,14.0,43.0,44.4,+,40.0,27.0,33.0,5.73,1.39,K4III,4I
5494,,CD-46 9562,129858,225178,14.0,46.0,29.1,-,47.0,26.0,28.0,5.74,0.07,A1V,1V
5495,,CD-51 8457,129893,241992,14.0,47.0,1.3,-,52.0,23.0,1.0,5.21,0.98,G8III,8I
5496,,BD-00 2867,129902,140116,14.0,45.0,11.7,-,1.0,25.0,4.0,6.07,1.61,M1III,1I
5497,54    Hya,CD-2411661,129926,182855,14.0,46.0,0.1,-,25.0,26.0,35.0,4.94,0.35,F2III-IV,2I
5498,,CD-51 8461,129932,241995,14.0,47.0,12.3,-,52.0,12.0,20.0,6.07,0.09,A1III-IV,1I
5499,,BD-22 3844,129944,182857,14.0,46.0,6.8,-,23.0,9.0,11.0,5.81,0.98,gG5,5
5500,,CP-66 2645,129954,252894,14.0,48.0,44.4,-,66.0,35.0,38.0,5.91,-0.07,B2.5Ve,2.
5501,108    Vir,BD+01 2972,129956,120642,14.0,45.0,30.2,+,0.0,43.0,2.0,5.69,-0.03,B9.5V,9.
5502,35Omi Boo,BD+17 2780,129972,101184,14.0,45.0,14.5,+,16.0,57.0,52.0,4.6,0.98,G8.5III,8.
5503,5    Lib,BD-14 4023,129978,158788,14.0,45.0,57.8,-,15.0,27.0,35.0,6.33,1.19,K1III,1I
5504,,BD-20 4087,129980,182858,14.0,46.0,10.9,-,21.0,10.0,34.0,6.4,0.58,F7V,7V
5505,36Eps Boo,BD+27 2417,129988,,14.0,44.0,59.2,+,27.0,4.0,30.0,5.12,,A2V,2V
5506,36Eps Boo,BD+27 2417,129989,83500,14.0,44.0,59.2,+,27.0,4.0,27.0,2.7,0.97,K0-II-III,0-
5507,,BD+19 2854,130025,101187,14.0,45.0,20.7,+,18.0,53.0,5.0,6.13,0.83,K0,0
5508,,CD-37 9686,130055,205937,14.0,47.0,5.1,-,38.0,17.0,27.0,5.94,1.33,K3III,3I
5509,,CD-43 9326,130073,225183,14.0,47.0,32.1,-,43.0,33.0,27.0,6.3,1.08,G8III,8I
5510,,BD+33 2489,130084,64306,14.0,45.0,13.7,+,32.0,47.0,18.0,6.28,1.58,M1IIIb,1I
5511,109    Vir,BD+02 2862,130109,120648,14.0,46.0,14.9,+,1.0,53.0,34.0,3.72,-0.01,A0V,0V
5512,,BD+15 2758,130144,101200,14.0,46.0,6.0,+,15.0,7.0,55.0,5.63,1.57,M5IIIab,5I
5513,,BD-20 4093,130157,182873,14.0,47.0,13.7,-,21.0,19.0,29.0,6.06,1.65,K5III,5I
5514,55    Hya,CD-2510534,130158,182875,14.0,47.0,22.5,-,25.0,37.0,28.0,5.63,,A0IIIp,0I
5515,,CP-56 6441,130227,242026,14.0,49.0,6.9,-,56.0,40.0,4.0,6.23,1.13,K1III,1I
5516,56    Hya,CD-2510537,130259,182882,14.0,47.0,44.8,-,26.0,5.0,15.0,5.24,0.94,G5III,5I
5517,57    Hya,CD-2610519,130274,182883,14.0,47.0,57.5,-,26.0,38.0,47.0,5.77,-0.02,B9V,9V
