HR,Name,DM,HD,SAO,RAh,RAm,RAs,DE_sign,DEd,DEm,DEs,Vmag,B-V,SpType,Const-Info
136,Bet3Tuc,CP-63   52,3003,248208,0.0,32.0,43.8,-,63.0,1.0,52.0,5.09,0.04,A0V,0V
137,16    Cas,BD+65   70,3038,11265,0.0,34.0,24.9,+,66.0,45.0,1.0,6.48,-0.08,B9III,9I
138,,CD-30  156,3059,166367,0.0,33.0,41.1,-,29.0,33.0,30.0,5.55,1.27,K2III,2I
139,The Tuc,CP-71   20,3112,255679,0.0,33.0,23.3,-,71.0,15.0,58.0,6.13,0.23,A7IV,7I
140,,CP-53  117,3158,232091,0.0,34.0,27.8,-,52.0,22.0,23.0,5.57,0.47,F3IV-V,3I
141,,BD+12   57,3166,91980,0.0,34.0,55.3,+,13.0,22.0,16.0,6.4,,K0,0
142,13    Cet,BD-04   62,3196,128839,0.0,35.0,14.9,-,3.0,35.0,34.0,5.2,0.56,F8V,8V
143,14    Cet,BD-01   68,3229,128843,0.0,35.0,32.8,-,0.0,30.0,20.0,5.93,0.44,F5IV,5I
144,,BD+53  102,3240,21551,0.0,36.0,8.3,+,54.0,10.0,7.0,5.08,-0.11,B7III,7I
145,,BD+12   59,3268,91990,0.0,35.0,54.7,+,13.0,12.0,24.0,6.41,0.52,F7V,7V
146,,BD+59   84,3283,11291,0.0,36.0,27.3,+,60.0,19.0,34.0,5.79,0.29,A4III,4I
147,Lam2Phe,CD-48  121,3302,215157,0.0,35.0,41.1,-,48.0,0.0,3.0,5.51,0.44,F6V,6V
148,,CP-55  117,3303,232099,0.0,35.0,33.4,-,54.0,49.0,19.0,6.06,1.01,K0IV,0I
149,,BD+26   91,3322,74136,0.0,36.0,20.0,+,27.0,15.0,17.0,6.5,-0.09,B8IIIpHgMn:,8I
150,,BD-15  109,3325,147360,0.0,36.0,3.0,-,14.0,58.0,25.0,6.45,1.06,G9III,9I
151,,CD-23  220,3326,166400,0.0,36.0,6.9,-,22.0,50.0,33.0,6.06,0.29,A6pSr,6p
