x,y,z,brightness
0.8322183384427019,0.5540593226509541,0.02075823073468793,6.05
0.06533834388581651,-0.9946538020525822,0.07996696118148594,6.11
-0.06515500322962287,0.9962935518806986,0.05616034219170763,5.87
-0.9975804856277499,-0.06545773756655975,0.023419207658887914,6.46
-0.5546710651675952,0.8298626006212935,-0.06056462297339149,6.33
0.5605256709354292,-0.8277632836736823,0.02487807115011137,3.56
0.07254652903407656,-0.9948288356219116,0.07108156540383238,6.33
-0.5055803516410848,0.8575919016441239,0.09447030363501753,6.52
0.8578759125581326,0.5056637205786458,-0.09139540657556296,4.23
0.9984819199270184,0.010456460443810985,0.05407881298477529,5.9
-0.48869626227538987,-0.8704014963495897,0.05980968475471654,5.79
-0.9996575481990279,-0.011268535246708422,0.02361792628708452,5.37
0.5108227977530472,-0.8594691585864841,0.019308928877349345,6.56
-0.016461288759896175,0.9970854932568614,0.07449526903827312,5.18
-0.5084566344550397,0.8576167058665763,-0.07723623953311295,5.51
-0.4840867197550816,-0.8749654950431346,-0.009768840293887712,5.18
0.8556750052155568,0.516345919529621,-0.03474445041250446,5.12
-0.5213756126663222,0.8528946221392867,0.027170462688377882,6.23
-0.4818339884947399,-0.8704454232613392,-0.10080065800697421,5.97
0.8791430615544523,-0.4764255443940652,-0.011232896753876818,6.39
-0.9982897371809796,-0.031372518868993594,-0.049329156681879455,6.55
0.843936319879986,0.5309409391206547,0.07663685244778244,7.39
0.8809833259190052,-0.46391683413130275,0.09300295942752135,5.57
0.8806182940009014,-0.4611102571089737,0.10903554952325445,5.4
0.9991835855208472,0.03991302059231088,0.00625405571622663,6.07
-0.4579474445011404,-0.8837847672789748,0.09596157147797857,5.74
0.9988926713395854,0.046815374264953656,0.0046638907040457995,5.77
-0.04809363038479993,0.9937131638313331,-0.10109970694681819,2.8
-0.9965637293967573,-0.05346318321508741,-0.0632646922962298,2.39
0.8366915054899224,0.5443924835774646,-0.05986775814549219,3.94
0.5468936809532652,-0.8372020586710948,0.00012120341998063218,6.19
-0.8945717687275717,0.4465044974041063,-0.019367095640038943,5.98
-0.8968815541866356,0.4405105748502843,0.039419680425352474,5.06
0.06756873428128675,-0.9943307287017704,0.08210278988579615,5.17
-0.06352836780777338,0.9970267501535865,-0.04360970031836743,4.81
0.5571464503618533,-0.8296425961954844,0.03579099645446024,6.06
0.5578981088504298,-0.8297185123018646,0.01780141805291354,6.04
0.8976584158644164,-0.43935366002873016,-0.03431806881433431,6.43
0.5581808971336228,-0.8293573397565991,-0.02450487843187505,5.43
-0.5587274707005723,0.8262720794776832,0.07140072940920382,6.26
0.06971356862111958,-0.9938345834467138,-0.08621391474353346,6.26
-0.4802042741407346,-0.8655690480349003,0.14210586962165386,6.21
0.9932559253568682,0.014375093772645007,0.11504791794073886,5.94
-0.8710410139488342,0.4872240990507848,0.062451816011530596,5.23
-0.5658615177338159,0.8244891349213402,-0.004290587913368087,6.14
0.8237401583432724,0.5650831589571069,-0.04618630744774411,6.57
0.8592843951463213,0.5113897224533845,0.010529958550307514,5.72
0.8730108527764576,-0.4870764401517722,-0.024669665251058,5.19
-0.48577993867722435,-0.871431630856174,-0.06800561684229484,6.19
0.8575249293680686,0.5123714722817211,-0.046113662879354096,5.69
0.5151561049073056,-0.8482553864213359,0.1227883829355331,6.18
0.8752070751786881,-0.4797411089433024,0.06213729916094273,5.87
-0.023587136496372556,0.9947412324005146,0.09966708360440281,4.73
0.8503038147083267,0.5177553818108567,0.09440755954033228,5.6
-0.02215596957128951,0.9987425844880223,-0.0449706898161643,4.77
-0.02258046817213726,0.9950334664812857,-0.09694598000620344,4.37
0.9950332313038089,0.022652861077782638,-0.09693150409485664,4.54
0.8481948049279794,0.5236853818789946,0.07949335632264293,6.7
-0.5270101269643305,0.8408051228966794,0.12372174985725096,6.42
-0.5265837493172137,0.842710156464245,0.11202297597829555,4.16
0.8801619123266187,-0.4733405696730673,0.03554874387550041,5.38
0.5250648842330845,-0.8508443387930991,0.019255609287467636,5.67
-0.4729518448527977,-0.879285795843735,0.05632975836788759,6.67
-0.8796785238038822,0.4719266078837203,0.058744970249271646,6.3
0.03544642318955535,-0.9943203777584378,0.10035206752919582,5.93
-0.994932245155682,-0.03061519399971507,-0.09577336501258389,5.09
-0.9914166737827019,-0.04357513164492962,0.12326470235947826,6.48
-0.03787800381631415,0.9992527510419371,-0.007693917208534788,5.55
-0.4647006383255508,-0.8775124594285225,-0.11842803843487086,6.13
0.5359762306918541,-0.8403698159222265,-0.08067250225569744,5.57
0.8878627754235071,-0.4593236512091213,0.026860295180591735,6.4
-0.9986781943543241,-0.05044523132674917,0.009856102555150575,5.2
-0.5441508122866071,0.8389869575430066,0.0008823607851240982,5.93
-0.056992085542756116,0.9934510067115555,0.09903029561343471,5.08
0.9982230759102685,0.053333800339933256,0.026574357217860053,6.41
0.546878828488141,-0.8305676297461252,0.10526613590961768,5.79
0.8900746403416065,-0.45343415171958773,-0.04652531219774666,5.51
0.8883357470669331,-0.4531994311908037,-0.07395861039369132,6.06
0.8341871230725807,0.5486535018915774,0.055777939743236735,6.5
0.9983714274157736,0.05691015395920686,-0.003965765516274325,6.45
-0.892834590809827,0.44953724218158914,-0.027616323890409262,6.06
-0.05982825695034573,0.9948037053786295,0.0823781975721274,5.13
-0.5491888833318068,0.8299961542411624,0.09745744902080974,3.66
-0.5503784820658921,0.8325831920750596,0.062359880956821594,4.36
-0.06007323038962975,0.9976662955331669,0.032452576903569945,5.89
-0.4426560167181268,-0.8954824355814388,0.04654952661816846,6.47
0.8948529845826636,-0.4412117577942624,0.0676041475620868,5.48
0.9859707345715952,0.08098936414299637,0.14595353186566662,6.4
-0.06538756505649607,0.9976214598368017,-0.02181488503456112,5.57
0.05913957117240886,-0.994210958021188,-0.08970552977456413,6.42
0.5561516461378869,-0.8310308506543117,0.009114371009003247,6.39
0.06507508528162535,-0.9950715162377312,-0.07481918769895882,6.41
-0.5613110104494392,0.825298407116887,0.06174535414554188,4.37
-0.5643007752233125,0.8199125849547475,0.09647791516814784,5.43
0.9953615723830106,0.07972063463478325,0.053851282590557506,3.27
0.9960634831536372,0.07992265474335834,0.0383393634091346,5.87
-0.08238413154449395,0.9958496147397049,0.03868332576758344,5.36
0.9942278789222456,0.019524127872018873,0.10549755070431538,2.23
0.821312993477441,0.5592121126558559,-0.11281303029393006,6.85
-0.5693192849846201,0.8210527731647215,-0.041807839254394165,6.69
-0.9950144594944982,-0.08209648106488085,-0.056625022681102546,6.01
-0.4830274955769978,-0.8756046996258705,0.0009211458638412022,6.49
0.9995012859460561,0.019773112330648688,-0.024621198608914683,6.14
0.5176147971191802,-0.8555258498950801,0.012265478570800485,5.91
